Datum,Allach-Untermenzing,Altstadt-Lehel,Au-Haidhausen,Aubing-Lochhausen-Langwied,Berg am Laim,Bogenhausen,Feldmoching-Hasenbergl,Hadern,Laim,Ludwigsvorstadt-Isarvorstadt,Maxvorstadt,Milbertshofen-Am Hart,Moosach,Neuhausen-Nymphenburg,Obergiesing,Pasing-Obermenzing,Ramersdorf-Perlach,Schwabing-Freimann,Schwabing-West,Schwanthalerhöhe,Sendling,Sendling-Westpark,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,Tudering-Riem,Untergiesing-Harlaching
01/Mar/2019,"[36.0, 635.0, 71.13888888888889]","[234.0, 5750.0, 140.66666666666666]","[510.0, 8941.0, 101.0]","[71.0, 1000.0, 110.63380281690141]","[153.0, 2775.0, 92.18954248366013]","[339.0, 7184.0, 93.84365781710915]","[77.0, 1911.0, 78.31168831168831]","[86.0, 1189.0, 79.6046511627907]","[266.0, 4237.0, 89.1842105263158]","[816.0, 18247.0, 120.66176470588235]","[801.0, 19128.0, 107.14232209737828]","[290.0, 4242.0, 77.3103448275862]","[115.0, 1498.0, 85.55652173913043]","[511.0, 7803.0, 91.76125244618396]","[249.0, 4682.0, 90.24899598393574]","[151.0, 2597.0, 84.35761589403974]","[258.0, 6390.0, 86.3062015503876]","[438.0, 10031.0, 94.32191780821918]","[525.0, 7965.0, 97.57142857142857]","[303.0, 4961.0, 123.4026402640264]","[303.0, 4874.0, 107.97689768976898]","[260.0, 4092.0, 95.67692307692307]","[253.0, 4598.0, 86.5296442687747]","[201.0, 4875.0, 91.55721393034825]","[269.0, 4129.0, 89.0817843866171]"
01/May/2019,"[35.0, 657.0, 73.65714285714286]","[243.0, 5872.0, 145.07407407407408]","[524.0, 9283.0, 103.1526717557252]","[62.0, 791.0, 104.75806451612904]","[157.0, 2849.0, 92.20382165605096]","[353.0, 7509.0, 94.22096317280453]","[76.0, 1939.0, 83.46052631578948]","[84.0, 1421.0, 74.58333333333333]","[264.0, 4189.0, 92.13636363636364]","[837.0, 18801.0, 133.89605734767025]","[837.0, 20894.0, 107.79091995221027]","[299.0, 4652.0, 80.24414715719064]","[124.0, 1503.0, 82.83870967741936]","[528.0, 8550.0, 91.05113636363636]","[253.0, 4886.0, 91.46640316205534]","[155.0, 2808.0, 84.28387096774193]","[269.0, 6786.0, 80.30483271375465]","[440.0, 10435.0, 92.23636363636363]","[538.0, 7984.0, 100.02602230483271]","[318.0, 5177.0, 122.4245283018868]","[311.0, 4833.0, 106.37299035369774]","[271.0, 4384.0, 96.04059040590406]","[256.0, 4915.0, 84.984375]","[221.0, 4905.0, 109.710407239819]","[260.0, 4382.0, 92.12692307692308]"
01/Jun/2019,"[35.0, 762.0, 78.42857142857143]","[252.0, 6260.0, 145.30555555555554]","[526.0, 9813.0, 104.45247148288973]","[59.0, 807.0, 108.59322033898304]","[162.0, 2960.0, 92.10493827160494]","[345.0, 7691.0, 92.80869565217391]","[76.0, 1995.0, 84.89473684210526]","[85.0, 1465.0, 76.2]","[266.0, 4229.0, 89.15789473684211]","[844.0, 18980.0, 134.51777251184834]","[828.0, 21247.0, 109.18115942028986]","[308.0, 4963.0, 78.61363636363636]","[128.0, 1553.0, 83.859375]","[537.0, 9094.0, 92.47858472998138]","[268.0, 5249.0, 91.23134328358209]","[159.0, 2915.0, 84.32075471698113]","[275.0, 7149.0, 79.75272727272727]","[454.0, 10833.0, 92.6101321585903]","[538.0, 8185.0, 98.96840148698885]","[318.0, 5460.0, 122.26415094339623]","[317.0, 5230.0, 106.82649842271293]","[270.0, 4373.0, 97.0]","[271.0, 5159.0, 85.54981549815498]","[223.0, 4900.0, 106.89237668161435]","[261.0, 4234.0, 91.42145593869732]"
01/Jul/2019,"[33.0, 736.0, 77.78787878787878]","[254.0, 6090.0, 146.79133858267716]","[537.0, 10534.0, 105.71880819366852]","[59.0, 832.0, 95.01694915254237]","[164.0, 3034.0, 93.8719512195122]","[361.0, 7969.0, 92.37119113573407]","[78.0, 2112.0, 86.61538461538461]","[90.0, 1540.0, 76.52222222222223]","[270.0, 4616.0, 88.73703703703704]","[862.0, 20037.0, 135.9721577726218]","[813.0, 20361.0, 109.85608856088561]","[312.0, 5146.0, 78.11538461538461]","[137.0, 1699.0, 81.7007299270073]","[547.0, 9347.0, 92.78427787934187]","[266.0, 5924.0, 90.73308270676692]","[158.0, 2946.0, 86.06962025316456]","[274.0, 7355.0, 77.95255474452554]","[466.0, 11209.0, 92.73175965665236]","[552.0, 8784.0, 99.52898550724638]","[315.0, 5515.0, 120.64761904761905]","[326.0, 5293.0, 104.6441717791411]","[279.0, 4487.0, 97.14336917562724]","[262.0, 5231.0, 85.92748091603053]","[217.0, 4948.0, 107.11059907834101]","[266.0, 4379.0, 91.13533834586467]"
01/Aug/2019,"[36.0, 802.0, 78.27777777777777]","[268.0, 6468.0, 152.76865671641792]","[547.0, 11112.0, 105.0018281535649]","[60.0, 751.0, 95.93333333333334]","[170.0, 3150.0, 95.47647058823529]","[373.0, 8303.0, 93.52278820375335]","[83.0, 2219.0, 87.07228915662651]","[93.0, 1611.0, 76.95698924731182]","[270.0, 4742.0, 88.5962962962963]","[911.0, 21334.0, 137.74094401756312]","[821.0, 21656.0, 110.33008526187577]","[328.0, 5442.0, 81.3079268292683]","[127.0, 1798.0, 85.04724409448819]","[554.0, 9645.0, 93.33754512635379]","[279.0, 6178.0, 97.31899641577061]","[164.0, 3062.0, 87.03658536585365]","[288.0, 7079.0, 79.01041666666667]","[475.0, 11457.0, 94.3957894736842]","[573.0, 8860.0, 99.51832460732984]","[314.0, 5609.0, 120.98726114649682]","[343.0, 5601.0, 107.63265306122449]","[285.0, 4721.0, 98.37894736842105]","[273.0, 5315.0, 86.53479853479854]","[218.0, 5253.0, 100.12385321100918]","[265.0, 4392.0, 95.53584905660378]"
01/Sep/2019,"[39.0, 827.0, 87.12820512820512]","[274.0, 6433.0, 153.4160583941606]","[580.0, 11580.0, 106.65517241379311]","[61.0, 783.0, 97.50819672131148]","[172.0, 3189.0, 95.25]","[397.0, 8751.0, 94.89672544080605]","[91.0, 2290.0, 92.37362637362638]","[93.0, 1583.0, 79.03225806451613]","[289.0, 4766.0, 92.46712802768167]","[946.0, 21260.0, 141.61416490486258]","[856.0, 21661.0, 117.28154205607477]","[347.0, 5571.0, 83.64841498559078]","[138.0, 1791.0, 84.60144927536231]","[603.0, 10028.0, 96.58540630182421]","[297.0, 6391.0, 102.15488215488216]","[173.0, 3235.0, 91.02312138728324]","[324.0, 8129.0, 80.21604938271605]","[502.0, 11227.0, 96.64741035856574]","[607.0, 9262.0, 103.29324546952225]","[321.0, 5566.0, 123.22118380062305]","[357.0, 5475.0, 110.72268907563026]","[309.0, 4844.0, 101.22330097087378]","[286.0, 5443.0, 88.33916083916084]","[230.0, 5312.0, 98.55652173913043]","[280.0, 4608.0, 94.66071428571429]"
01/Oct/2019,"[49.0, 911.0, 111.34693877551021]","[317.0, 7111.0, 147.01577287066246]","[632.0, 11730.0, 111.59651898734177]","[65.0, 821.0, 104.46153846153847]","[175.0, 3260.0, 98.33714285714285]","[427.0, 9469.0, 96.68384074941451]","[100.0, 2444.0, 99.15]","[104.0, 1726.0, 81.29807692307692]","[319.0, 5162.0, 91.87774294670847]","[996.0, 21328.0, 159.9367469879518]","[892.0, 22291.0, 121.66479820627802]","[377.0, 5651.0, 84.93899204244032]","[174.0, 1970.0, 83.24137931034483]","[631.0, 10444.0, 101.95245641838352]","[301.0, 6528.0, 105.7109634551495]","[187.0, 3354.0, 95.9090909090909]","[339.0, 8253.0, 79.89970501474926]","[526.0, 12113.0, 97.68631178707224]","[650.0, 10029.0, 104.3076923076923]","[342.0, 5559.0, 127.64035087719299]","[384.0, 5838.0, 109.68229166666667]","[319.0, 4674.0, 100.21003134796238]","[303.0, 5313.0, 90.91419141914191]","[248.0, 5644.0, 101.79032258064517]","[297.0, 4720.0, 99.86868686868686]"
01/Nov/2019,"[45.0, 799.0, 110.04444444444445]","[305.0, 6996.0, 147.88852459016394]","[615.0, 11862.0, 111.6]","[64.0, 819.0, 106.078125]","[168.0, 3233.0, 99.48214285714286]","[411.0, 9009.0, 96.19464720194647]","[94.0, 2434.0, 95.2127659574468]","[100.0, 1759.0, 78.53]","[302.0, 4856.0, 92.04966887417218]","[966.0, 21604.0, 157.97619047619048]","[887.0, 22110.0, 117.0924464487035]","[364.0, 5664.0, 83.94505494505495]","[167.0, 2047.0, 84.67664670658682]","[623.0, 10547.0, 102.30497592295345]","[298.0, 6493.0, 101.6510067114094]","[182.0, 3211.0, 94.94505494505495]","[346.0, 8383.0, 78.54913294797687]","[518.0, 11987.0, 97.18725868725869]","[642.0, 9710.0, 102.14485981308411]","[336.0, 5725.0, 124.34821428571429]","[366.0, 5780.0, 107.4535519125683]","[310.0, 4688.0, 104.0]","[293.0, 5216.0, 89.56313993174061]","[243.0, 5841.0, 111.22222222222223]","[282.0, 4789.0, 97.37234042553192]"
01/Dec/2019,"[46.0, 874.0, 107.21739130434783]","[303.0, 7134.0, 148.26072607260727]","[606.0, 11948.0, 111.53630363036304]","[61.0, 822.0, 96.9672131147541]","[170.0, 3316.0, 98.28823529411764]","[410.0, 9321.0, 96.04878048780488]","[91.0, 2487.0, 94.15384615384616]","[100.0, 1804.0, 77.46]","[310.0, 5079.0, 91.72903225806452]","[965.0, 22241.0, 154.97305699481865]","[882.0, 23138.0, 117.60204081632654]","[360.0, 5613.0, 81.925]","[152.0, 1741.0, 89.23026315789474]","[616.0, 10675.0, 101.29058441558442]","[298.0, 5817.0, 101.37248322147651]","[179.0, 3199.0, 96.98882681564245]","[332.0, 7942.0, 77.90361445783132]","[517.0, 11944.0, 96.86460348162475]","[636.0, 9428.0, 102.7122641509434]","[325.0, 5592.0, 123.67076923076922]","[359.0, 5766.0, 107.81058495821728]","[317.0, 4855.0, 101.61514195583597]","[291.0, 5439.0, 89.6872852233677]","[239.0, 5927.0, 110.66945606694561]","[277.0, 4830.0, 97.30324909747293]"
01/Jan/2020,"[47.0, 886.0, 109.82978723404256]","[306.0, 6845.0, 177.62745098039215]","[595.0, 11137.0, 110.97983193277311]","[65.0, 897.0, 95.61538461538461]","[168.0, 3247.0, 97.66666666666667]","[411.0, 9284.0, 94.56934306569343]","[91.0, 2476.0, 93.93406593406593]","[101.0, 1763.0, 80.39603960396039]","[308.0, 5172.0, 87.93506493506493]","[949.0, 22907.0, 156.78714436248683]","[879.0, 22972.0, 116.51080773606371]","[355.0, 5914.0, 81.64225352112676]","[150.0, 1756.0, 88.94666666666667]","[607.0, 10669.0, 102.02965403624383]","[291.0, 5989.0, 100.03780068728523]","[179.0, 3220.0, 95.92178770949721]","[340.0, 8630.0, 79.63235294117646]","[513.0, 11938.0, 97.69395711500975]","[633.0, 9660.0, 100.23380726698262]","[328.0, 5719.0, 122.7469512195122]","[351.0, 5749.0, 106.19373219373219]","[298.0, 4744.0, 99.98322147651007]","[291.0, 5600.0, 88.36082474226804]","[239.0, 6084.0, 111.92887029288703]","[277.0, 4967.0, 97.89169675090253]"
01/Feb/2020,"[43.0, 875.0, 112.09302325581395]","[299.0, 6597.0, 149.64882943143812]","[585.0, 10899.0, 109.52478632478632]","[62.0, 891.0, 96.2741935483871]","[169.0, 3395.0, 95.46153846153847]","[411.0, 9487.0, 98.1970802919708]","[89.0, 2435.0, 93.75280898876404]","[98.0, 1717.0, 78.57142857142857]","[296.0, 4882.0, 87.98648648648648]","[949.0, 22938.0, 155.73234984193888]","[876.0, 23375.0, 115.41438356164383]","[358.0, 6089.0, 83.24860335195531]","[152.0, 1812.0, 87.84210526315789]","[596.0, 10593.0, 100.1241610738255]","[289.0, 5887.0, 99.45328719723183]","[170.0, 3179.0, 99.28823529411764]","[337.0, 8560.0, 80.01780415430267]","[488.0, 11706.0, 97.60450819672131]","[631.0, 9542.0, 100.10776545166402]","[335.0, 6099.0, 123.14029850746269]","[349.0, 5762.0, 106.85100286532952]","[297.0, 4812.0, 100.50841750841751]","[298.0, 5645.0, 88.22147651006712]","[241.0, 6364.0, 116.87136929460581]","[266.0, 4960.0, 95.17669172932331]"
01/Mar/2020,"[42.0, 878.0, 102.85714285714286]","[300.0, 6671.0, 149.33333333333334]","[576.0, 10779.0, 108.77430555555556]","[64.0, 921.0, 94.21875]","[171.0, 3479.0, 95.0233918128655]","[411.0, 9377.0, 97.43065693430657]","[87.0, 2436.0, 95.54022988505747]","[97.0, 1545.0, 78.09278350515464]","[296.0, 4804.0, 89.29391891891892]","[946.0, 22397.0, 154.73890063424946]","[866.0, 22742.0, 113.80369515011547]","[355.0, 6101.0, 81.63098591549296]","[155.0, 1827.0, 88.68387096774194]","[595.0, 10167.0, 99.41680672268907]","[285.0, 5735.0, 100.1438596491228]","[166.0, 3162.0, 97.79518072289157]","[334.0, 8586.0, 78.47005988023952]","[489.0, 11804.0, 98.20654396728017]","[620.0, 9530.0, 99.58709677419355]","[326.0, 5754.0, 125.11042944785277]","[343.0, 5610.0, 107.34985422740525]","[293.0, 4761.0, 101.71331058020478]","[296.0, 5541.0, 87.70608108108108]","[237.0, 5892.0, 115.10548523206751]","[262.0, 4914.0, 94.26335877862596]"
01/Apr/2020,"[42.0, 879.0, 102.85714285714286]","[292.0, 6408.0, 148.83561643835617]","[572.0, 10762.0, 108.91433566433567]","[63.0, 824.0, 90.87301587301587]","[165.0, 3426.0, 94.84848484848484]","[399.0, 8764.0, 97.56390977443608]","[86.0, 2446.0, 95.06976744186046]","[96.0, 1551.0, 77.76041666666667]","[293.0, 4756.0, 89.37201365187714]","[933.0, 22821.0, 154.40621650589497]","[855.0, 22475.0, 113.20116959064327]","[357.0, 6041.0, 81.09803921568627]","[151.0, 1749.0, 89.58278145695364]","[589.0, 10030.0, 99.80305602716469]","[281.0, 5655.0, 100.5017793594306]","[167.0, 3196.0, 96.2934131736527]","[323.0, 8391.0, 78.656346749226]","[488.0, 11897.0, 97.68032786885246]","[606.0, 9362.0, 99.57095709570957]","[322.0, 5712.0, 124.45652173913044]","[343.0, 5604.0, 105.99125364431487]","[287.0, 4462.0, 101.34494773519164]","[292.0, 5527.0, 87.37671232876713]","[225.0, 5431.0, 116.71111111111111]","[259.0, 4609.0, 95.13127413127413]"
01/May/2020,"[42.0, 882.0, 102.85714285714286]","[293.0, 6393.0, 147.0170648464164]","[563.0, 10596.0, 107.87921847246892]","[63.0, 825.0, 93.95238095238095]","[166.0, 3443.0, 93.87349397590361]","[397.0, 8703.0, 96.10831234256926]","[91.0, 2488.0, 94.08791208791209]","[94.0, 1496.0, 79.12765957446808]","[291.0, 4780.0, 88.37113402061856]","[920.0, 22048.0, 158.3521739130435]","[852.0, 22651.0, 112.54460093896714]","[351.0, 5918.0, 81.57549857549857]","[155.0, 1606.0, 88.5741935483871]","[578.0, 9530.0, 99.39792387543253]","[282.0, 5795.0, 99.7482269503546]","[167.0, 3222.0, 96.11976047904191]","[328.0, 8545.0, 78.02439024390245]","[483.0, 11642.0, 98.75569358178053]","[594.0, 8958.0, 100.37373737373737]","[318.0, 5676.0, 125.99685534591195]","[344.0, 5619.0, 105.99418604651163]","[287.0, 4428.0, 101.73170731707317]","[293.0, 5425.0, 86.58361774744027]","[226.0, 5406.0, 115.92477876106194]","[262.0, 4721.0, 96.67557251908397]"
01/Jun/2020,"[45.0, 887.0, 98.75555555555556]","[290.0, 5929.0, 149.5448275862069]","[563.0, 10646.0, 107.91474245115452]","[65.0, 925.0, 93.12307692307692]","[165.0, 3235.0, 93.97575757575757]","[403.0, 9082.0, 95.72952853598015]","[91.0, 2418.0, 92.79120879120879]","[94.0, 1571.0, 79.12765957446808]","[289.0, 4710.0, 90.28373702422145]","[916.0, 21920.0, 158.7259825327511]","[857.0, 22476.0, 113.01866977829638]","[354.0, 5801.0, 81.2909604519774]","[155.0, 1624.0, 89.70967741935483]","[575.0, 9623.0, 97.96173913043478]","[279.0, 5812.0, 99.14336917562724]","[164.0, 3101.0, 96.66463414634147]","[322.0, 8321.0, 77.25776397515529]","[478.0, 11145.0, 98.42259414225941]","[599.0, 9090.0, 99.64440734557596]","[318.0, 5705.0, 124.87735849056604]","[342.0, 5509.0, 106.04970760233918]","[291.0, 4465.0, 100.90034364261169]","[291.0, 5600.0, 87.52920962199313]","[225.0, 5457.0, 114.70222222222222]","[264.0, 4225.0, 96.35227272727273]"
